project,fault,runtime
Closure,5600039,14645
Closure,5700073,58932
Closure,5700074,52366
Closure,5700075,61530
Closure,5700076,53148
Closure,5700077,62512
Closure,5700078,45827
Closure,5700079,50055
Closure,5800042,794
Closure,5800044,756
Closure,5900024,63701
Closure,5900025,60497
Closure,5900026,71449
Closure,6000021,26406
Closure,6000034,65044
Closure,6000035,55629
Closure,6000037,64134
Closure,6100373,56795
Closure,6100374,54268
Closure,6100375,52377
Closure,6100376,51454
Closure,6100377,51670
Closure,6100378,61319
Closure,6100379,51354
Closure,6200021,12010
Closure,6200022,12125
Closure,6200023,13629
Closure,6200024,12280
Closure,6200025,13015
Closure,6400256,58105
Closure,6400257,56856
Closure,6400258,63143
Closure,6400259,61229
Closure,6400284,61663
Closure,6400285,63310
Closure,6400286,61462
Closure,6400287,62641
Closure,6400288,26118
Closure,6500715,31699
Closure,6500716,32611
Closure,6600101,53306
Closure,6600102,55316
Closure,6700147,1239
Closure,6700148,1267
Closure,6700149,1221
Closure,6700150,1172
Closure,6700151,1214
Closure,6700152,1300
Closure,6700153,1213
Closure,6700154,1176
Closure,6700155,1416
Closure,6700156,1243
Closure,6700157,1296
Closure,6700158,1215
Closure,6700159,1195
Closure,6700160,1158
Closure,6800409,34173
Closure,6800721,32506
Closure,6800753,29555
Closure,6900581,53521
Closure,6900582,63527
Closure,6900583,62221
Closure,6900584,54020
Closure,6900585,52757
Closure,6900586,54017
Closure,6900587,50779
Closure,6900588,55535
Closure,6900589,56678
Closure,6900590,67052
Closure,6900591,58390
Closure,6900592,53814
Closure,6900593,54339
Closure,6900594,53935
Closure,6900595,54833
Closure,6900596,53741
Closure,6900597,50126
Closure,7000797,18812
Closure,7000798,55986
Closure,7100162,55504
Closure,7100163,51528
Closure,7100164,53733
Closure,7100165,54621
Closure,7100166,55575
Closure,7100167,55784
Closure,7100168,53547
Closure,7100169,53464
Closure,7200034,3667
Closure,7200035,1416
Closure,7200177,3805
Closure,7200178,3806
Closure,7200179,3795
Closure,7300878,30575
Closure,7300879,29688
Closure,7300880,29851
Closure,7300882,26665
Closure,7300883,27995
Closure,7300884,34665
Closure,7300885,30286
Closure,7300886,30449
Closure,7300887,32593
Closure,7300889,27539
Closure,7300890,35821
Closure,7300891,29953
Closure,7400501,1402
Closure,7400502,1457
Closure,7400573,1565
Closure,7400574,1574
Closure,7400575,1613
Closure,7400576,1914
Closure,7400577,1937
Closure,7400578,1568
Closure,7400579,1460
Closure,7500107,48683
Closure,7500108,51651
Closure,7600123,1109
Closure,7600124,960
Closure,7600125,979
Closure,7600126,976
Closure,7600127,1015
Closure,7600128,1005
Closure,7600129,1168
Closure,7600130,960
Closure,7600131,991
Closure,7600132,1076
Closure,7600133,1014
Closure,7600134,1197
Closure,7600137,961
Closure,7600144,974
Closure,7600157,946
Closure,7600158,989
Closure,7600160,284
Closure,7700699,28426
Closure,7700700,26437
Closure,7900014,48426
Closure,7900344,2019
Closure,8100225,34944
Closure,8100226,30660
Closure,8100227,73314
Closure,8100228,33875
Closure,8100229,35911
Closure,8200013,55438
Closure,8200014,54875
Closure,8200015,55537
Closure,8200016,59036
Closure,8200017,54708
Closure,8200018,56881
Closure,8200019,56859
Closure,8200021,55010
Closure,8200022,53829
Closure,8200023,57283
Closure,8300022,524
Closure,8300023,531
Closure,8400147,71269
Closure,8400148,40378
Closure,8400149,30919
Closure,8400150,32168
Closure,8400381,38536
Closure,8400382,34471
Closure,8400383,36193
Closure,8400384,34241
Closure,8400385,35481
Closure,8400386,34882
Closure,8400387,36001
Closure,8400388,35171
Closure,8400395,35480
Closure,8400396,34412
Closure,8500047,739
Closure,8500053,763
Closure,8500054,741
Closure,8500055,760
Closure,8500056,666
Closure,8500057,760
Closure,8500058,664
Closure,8500059,794
Closure,8500060,665
Closure,8600861,48879
Closure,8700261,1080
Closure,8700262,1174
Closure,8700263,988
Closure,8700264,1111
Closure,8700265,947
Closure,8700266,1173
Closure,8700267,985
Closure,8700268,1996
Closure,8700269,1149
Closure,8700270,987
Closure,8700271,945
Closure,8700272,987
Closure,8700273,1175
Closure,8700274,983
Closure,8700275,949
Closure,8700276,1147
Closure,8700277,924
Closure,8800139,947
Closure,8800140,974
Closure,8800141,924
Closure,8800142,947
Closure,8800143,942
Closure,8900395,8234
Closure,8900396,4679
Closure,8900397,4964
Closure,8900398,3806
Closure,8900678,3906
Closure,8900679,3409
Closure,8900680,3947
Closure,8900681,3933
Closure,8900682,3813
Closure,9000351,50422
Closure,9000399,52471
Closure,9000400,51394
Closure,9100045,919
Closure,9100046,845
Closure,9100047,950
Closure,9100048,846
Closure,9100049,835
Closure,9100050,826
Closure,9100051,890
Closure,9100052,850
Closure,9100053,830
Closure,9100054,825
Closure,9100055,673
Closure,9100056,889
Closure,9200386,15265
Closure,9300386,14399
Closure,9400077,43027
Closure,9400078,38017
Closure,9500518,22958
Closure,9500520,20670
Closure,9500523,20712
Closure,9500524,22010
Closure,9500527,22020
Closure,9500528,21284
Closure,9500529,21057
Closure,9500530,23391
Closure,9600526,45756
Closure,9600527,44707
Closure,9600528,86278
Closure,9600529,43126
Closure,9600531,45366
Closure,9600532,44320
Closure,9600533,45677
Closure,9600534,45139
Closure,9600535,37165
Closure,9600536,39029
Closure,9600537,37309
Closure,9600538,35251
Closure,9600539,37194
Closure,9700331,800
Closure,9700332,853
Closure,9700333,598
Closure,9700334,558
Closure,9700335,624
Closure,9800110,2694
Closure,9800111,3202
Closure,9800112,2955
Closure,9800113,2800
Closure,9800114,2951
Closure,9800115,3239
Closure,9800116,3067
Closure,9800117,2844
Closure,9800226,3000
Closure,9800227,2888
Closure,9800228,3696
Closure,9800229,6162
Closure,9800230,2705
Closure,9800231,3241
Closure,9800232,2753
Closure,9800233,2952
Closure,9800234,4246
Closure,9800235,3272
Closure,9800236,2905
Closure,9800237,3040
Closure,9800238,3694
Closure,9900007,577
Closure,9900008,570
Closure,9900009,565
Closure,9900010,575
Closure,9900011,616
Closure,9900012,576
Closure,9900013,577
Closure,9900014,722
Closure,9900015,616
Closure,9900016,580
Closure,9900049,606
Closure,9900050,576
Closure,9900055,613
Closure,9900056,623
Closure,9900057,519
Closure,9900058,617
Closure,9900059,586
Closure,9900060,615
Closure,9900061,577
Closure,10000014,572
Closure,10000015,688
Closure,10000016,578
Closure,10000017,590
Closure,10000018,487
Closure,10000019,581
Closure,10000020,595
Closure,10000021,541
Closure,10000022,577
Closure,10000023,574
Closure,10000024,586
Closure,10000025,488
Closure,10000026,688
Closure,10000027,585
Closure,10000028,558
Closure,10000029,613
Closure,10000030,601
Closure,10000031,689
Closure,10000032,574
Closure,10000068,485
Closure,10000069,575
Closure,10100057,236
Closure,10200007,6539
Closure,10200012,6907
Closure,10300581,14782
Closure,10300582,12913
Closure,10300583,11134
Closure,10300584,13179
Closure,10300585,12794
Closure,10300586,12785
Closure,10300587,14917
Closure,10300588,14839
Closure,10400053,21686
Closure,10400054,21827
Closure,10500983,853
Closure,10500984,720
Closure,10500987,817
Closure,10500990,713
Closure,10500993,747
Closure,10600374,9003
Closure,10600375,9495
Closure,10600456,10159
Closure,10600457,9803
Closure,10700117,1275
Closure,10800062,4760
Closure,10800157,4284
Closure,10800252,4252
Closure,10800253,4786
Closure,10800254,4142
Closure,10800255,4295
Closure,10800256,4780
Closure,10900902,40464
Closure,10900903,36779
Closure,10900904,48923
Closure,11001066,83271
Closure,11001080,2186
Closure,11001081,83324
Closure,11001082,83719
Closure,11001083,83525
Closure,11001093,83823
Closure,11001094,73088
Closure,11001095,5690
Closure,11001096,84100
Closure,11001097,83579
Closure,11001098,3179
Closure,11001099,4831
Closure,11001100,1776
Closure,11001101,84403
Closure,11001108,76931
Closure,11001109,1976
Closure,11001110,79219
Closure,11100001,23039
Closure,11200599,35646
Closure,11300129,26491
Closure,11300130,25070
Closure,11300131,27737
Closure,11300132,26788
Closure,11400097,6876
Closure,11400098,8574
Closure,11400099,9408
Closure,11400100,6551
Closure,11600211,8191
Closure,11600212,7429
Closure,11600213,9298
Closure,11600214,7651
Closure,11600215,7342
Closure,11600234,8769
Closure,11600235,7456
Closure,11600236,9196
Closure,11600237,6703
Closure,11600238,7325
Closure,11700211,71856
Closure,11700212,78646
Closure,11700214,74647
Closure,11700215,9861
Closure,11700216,77556
Closure,11700217,79520
Closure,11700218,78236
